target_year,label,peak_freq_10k,peak_obs_year,lag_to_peak,half_life_yrs,half_life_year
1914,1914 (WWI begins),0.6058,2004,90,2.0,2006.0
1918,1918 (WWI ends),0.1513,2010,92,4.0,2014.0
1929,1929 (Great Depression),0.2589,2007,78,4.0,2011.0
1939,1939 (WWII begins),1.4897,2006,67,6.0,2012.0
1945,1945 (WWII ends),2.6718,2008,63,3.0,2011.0
1963,1963 (JFK assassination),0.4039,2004,41,3.0,2007.0
1969,1969 (Moon landing),2.2212,2004,35,2.0,2006.0
1989,1989 (Berlin Wall),1.6154,2004,15,2.0,2006.0
2001,2001 (9/11),8.6292,2005,4,6.0,2011.0
2003,2003 (Iraq War),14.7406,2004,1,2.0,2006.0
2008,2008 (Financial Crisis),19.936,2009,1,4.0,2013.0
2011,2011 (Arab Spring),31.0624,2012,1,3.0,2015.0
2016,2016 (Brexit / US election),13.708,2017,1,,
