year,tokens,types,ttr,cumulative_vocab,n_articles,hapax,hapax_ratio
2004,45002,7822,0.1738,7822,27,4028,0.515
2005,82507,11144,0.1351,12397,34,5358,0.4808
2006,125673,14317,0.1139,17781,38,6570,0.4589
2007,178056,17511,0.0983,23235,41,7753,0.4428
2008,212126,18402,0.0868,26822,43,7885,0.4285
2009,201971,18416,0.0912,29472,49,8098,0.4397
2010,240871,20550,0.0853,31989,48,8851,0.4307
2011,270151,21027,0.0778,34035,55,8864,0.4216
2012,327138,23596,0.0721,36809,55,9928,0.4207
2013,356159,24853,0.0698,39293,59,10394,0.4182
2014,414019,26603,0.0643,41390,61,11088,0.4168
2015,468586,27998,0.0597,43471,64,11467,0.4096
2016,496722,28858,0.0581,44763,68,11911,0.4127
2017,534966,30039,0.0562,46587,69,12078,0.4021
2018,552460,30627,0.0554,48232,72,12230,0.3993
2019,590380,31871,0.054,49992,74,12865,0.4037
2020,652640,33062,0.0507,51747,76,13037,0.3943
2021,677055,33371,0.0493,53610,79,13156,0.3942
2022,704937,34137,0.0484,55178,83,13455,0.3941
2023,719678,34428,0.0478,56532,84,13549,0.3935
2024,763041,35403,0.0464,58071,85,13834,0.3908
